Equipment type,AREA,REGION,CLUSTER,IMG SubReg,agfa_wasquotedcreatedname,agfa_maintypecodename,FC category sort,IMG SubReg_1,agfa_weightedamountexcludingsma_base,destination
DR 800,UK & IRELAND,EUROPE-PACIFIC,EUROPE NORTH,UK,Yes,Expand existing business,1,UK,399698.77,IRELAND
DR 600,OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA,Yes,Expand existing business,1,OCEANIA,189705.99,AUSTRALIA
DR 800,OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA,Yes,Expand existing business,1,OCEANIA,141141.72,AUSTRALIA
DR 100s,OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA,Yes,Expand existing business,1,OCEANIA,200413.63,AUSTRALIA
DR 100s,UK & IRELAND,EUROPE-PACIFIC,EUROPE NORTH,UK,Yes,Expand existing business,1,UK,155853.23,UNITED KINGDOM
DR 600,UK & IRELAND,EUROPE-PACIFIC,EUROPE NORTH,UK,Yes,Expand existing business,1,UK,306627.91000000003,UNITED KINGDOM
DR 100s,OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA,Yes,Expand existing business,1,OCEANIA,70250.54,AUSTRALIA
DR 600,UK & IRELAND,EUROPE-PACIFIC,EUROPE NORTH,UK,Yes,Expand existing business,1,UK,148288.58000000002,UNITED KINGDOM
DR 100s,NORD,EUROPE-PACIFIC,EUROPE NORTH,NORD,Yes,Expand existing business,1,NORD,48600.0,DENMARK
DR 100s,OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA,Yes,Expand existing business,1,OCEANIA,3281.2700000000004,AUSTRALIA
Valory Floor,OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA,Yes,Expand existing business,1,OCEANIA,51319.01,AUSTRALIA
DR 100s,OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA,Yes,Expand existing business,1,OCEANIA,82249.95,AUSTRALIA
DR 100s,OCEANIA,EUROPE-PACIFIC,OCEANIA,OCEANIA,Yes,Expand existing business,1,OCEANIA,74502.43,AUSTRALIA
DR 800,UK & IRELAND,EUROPE-PACIFIC,EUROPE NORTH,UK,Yes,Expand existing business,1,UK,312316.41000000003,UNITED KINGDOM
DR 100s,UK & IRELAND,EUROPE-PACIFIC,EUROPE NORTH,UK,No,Expand existing business,1,UK,49500.00000000001,IRELAND
DR 100e,FRANCE,EUROPE-PACIFIC,EUROPE NORTH,FRANCE,Yes,Expand existing business,1,FRANCE,39787.25,FRANCE
DR 400,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,36000.0,BOSNIA AND HERZEGOVINA
DR 600,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,179988.54,POLAND
Valory Floor,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,66311.97,POLAND
DX-D 300,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,74250.0,ITALY
DR 400,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,41649.3,CYPRUS
DR 600,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,143100.0,GREECE
DR 100e,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,36000.0,SAN MARINO
DR 600,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,141182.1,POLAND
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,94500.0,GREECE
DX-D 300,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,56220.15,SERBIA
DX-D 300,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,11520.0,GREECE
DR 400,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,93285.0,GREECE
DR 100s,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,232200.0,CZECHIA
DR 600,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,116999.99999999999,CZECHIA
DR 400,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,80686.71,ITALY
