cr57c_accountid,cr57c_address2_country,cr57c_agfa_saprecordid
81CA9986-21EB-ED11-8848-0022489FDB1D,United States of America,
7BED5287-21EB-ED11-8849-0022489FDDCE,United States of America,
FA944482-21EB-ED11-8849-000D3A680C8A,United States of America,
E0331D91-22EB-ED11-8849-000D3A680C8A,United States of America,
266E0493-22EB-ED11-8848-000D3AB11D4F,United States of America,
BD6F2186-21EB-ED11-8849-0022489FD093,United States of America,
00D5AF8F-22EB-ED11-8849-0022489FD0DC,United States of America,
6CB60E85-21EB-ED11-8849-0022489FD80B,United States of America,
433E4092-22EB-ED11-8849-0022489FD9A7,United States of America,
08936493-22EB-ED11-8849-0022489FDE79,United States of America,
CA2CDC82-21EB-ED11-8848-000D3AB11D4F,United States of America,
42E9E284-21EB-ED11-8849-0022489FD623,United States of America,
B83D4092-22EB-ED11-8849-0022489FD9A7,United States of America,
B51B8080-21EB-ED11-8848-0022489FDB1D,United States of America,
4AE8E38E-22EB-ED11-8848-0022489FDB1D,United States of America,
913A5992-22EB-ED11-8849-0022489FDDCE,United States of America,
FB3EDB7E-21EB-ED11-8849-0022489FDDEE,United States of America,
0611D092-22EB-ED11-8849-0022489FDDEE,United States of America,
AA6A6D90-22EB-ED11-8849-0022489FC0D4,United States of America,
1DF33692-22EB-ED11-8849-0022489FD623,United States of America,
1EB50E85-21EB-ED11-8849-0022489FD80B,United States of America,
446AEF82-21EB-ED11-8849-0022489FD9A7,United States of America,
4A6AEF82-21EB-ED11-8849-0022489FD9A7,United States of America,
0D3E4092-22EB-ED11-8849-0022489FD9A7,United States of America,
B03EDB7E-21EB-ED11-8849-0022489FDDEE,United States of America,
3CC2D78A-21EB-ED11-8849-0022489FDDEE,United States of America,
0165D58C-22EB-ED11-8849-0022489FDDEE,United States of America,
A51C7C82-21EB-ED11-8849-0022489FDE79,United States of America,
E31C7C82-21EB-ED11-8849-0022489FDE79,United States of America,
33331D91-22EB-ED11-8849-000D3A680C8A,United States of America,
EC6E2186-21EB-ED11-8849-0022489FD093,United States of America,
ABB7198C-21EB-ED11-8849-0022489FD093,United States of America,
EAF23692-22EB-ED11-8849-0022489FD623,United States of America,
1312D092-22EB-ED11-8849-0022489FDDEE,United States of America,
9C1C7C82-21EB-ED11-8849-0022489FDE79,United States of America,
4C321D91-22EB-ED11-8849-000D3A680C8A,United States of America,
69331D91-22EB-ED11-8849-000D3A680C8A,United States of America,
1C2CDC82-21EB-ED11-8848-000D3AB11D4F,United States of America,
736A6D90-22EB-ED11-8849-0022489FC0D4,United States of America,
6D6F2186-21EB-ED11-8849-0022489FD093,United States of America,
E0655787-21EB-ED11-8849-0022489FD0DC,United States of America,
E7EDA28C-22EB-ED11-8849-0022489FD80B,United States of America,
E2EEA28C-22EB-ED11-8849-0022489FD80B,United States of America,
DA3D4092-22EB-ED11-8849-0022489FD9A7,United States of America,
753E5881-21EB-ED11-8849-0022489FDDCE,United States of America,
5FEB5287-21EB-ED11-8849-0022489FDDCE,United States of America,
8F3EDB7E-21EB-ED11-8849-0022489FDDEE,United States of America,
FD10D092-22EB-ED11-8849-0022489FDDEE,United States of America,
71331D91-22EB-ED11-8849-000D3A680C8A,United States of America,
26B7AD8F-22EB-ED11-8849-000D3ADA93B4,United States of America,
85A4B491-22EB-ED11-8849-0022489FD093,United States of America,
8F655787-21EB-ED11-8849-0022489FD0DC,United States of America,
06D5AF8F-22EB-ED11-8849-0022489FD0DC,United States of America,
063E4092-22EB-ED11-8849-0022489FD9A7,United States of America,
3C1B8080-21EB-ED11-8848-0022489FDB1D,United States of America,
ADCA9986-21EB-ED11-8848-0022489FDB1D,United States of America,
FE3E5881-21EB-ED11-8849-0022489FDDCE,United States of America,
A73EDB7E-21EB-ED11-8849-0022489FDDEE,United States of America,
