Destination,IMG SubReg,IMG RegGrp,Report Region,Fixed Destination,Check
NIGERIA,West & Central Africa,Intercontinental,Africa,Nigeria,1
OMAN,Gulf,Intercontinental,Middle East & Other Africa,Oman,1
PAKISTAN,Gulf,Intercontinental,Middle East & Other Africa,Pakistan,1
PALESTINE,Levant,Intercontinental,Middle East & Other Africa,Palestine,1
"PALESTINE, STATE OF",Levant,Intercontinental,Middle East & Other Africa,Palestine,1
PANAMA,NOLA,Intercontinental,North LATAM,Panama,1
PARAGUAY,La Plata,Intercontinental,South LATAM,Paraguay,1
PERU,Peru & Bolivia,Intercontinental,North LATAM,Peru,1
PHILIPPINES,Asean,Intercontinental,Asean,Philippines,1
PHILIPPINES (THE),Asean,Intercontinental,Asean,Philippines,1
PITCAIRN ISLNDS,Rest of World others,Intercontinental,Rest of World others,Pitcairn Islands,1
PUERTO RICO,NOLA,Intercontinental,North LATAM,Puerto Rico,1
QATAR,Gulf,Intercontinental,Middle East & Other Africa,Qatar,1
REGION DIRECT EXPORT,Rest of World others,Intercontinental,Rest of World others,Region Direct Export,1
REGION LATAM,Utopia,Intercontinental,Utopia,Region LATAM,1
REP.OF CONGO,West & Central Africa,Intercontinental,Africa,Republic Of Congo,1
REPUBLIC OF CONGO,West & Central Africa,Intercontinental,Africa,Republic Of Congo,1
REST OF WORLD OTHERS,Rest of World others,Intercontinental,Rest of World others,Rest Of World Others,1
ROW,Rest of World others,Intercontinental,Rest of World others,Rest Of World Others,1
ROW OTHERS,Rest of World others,Intercontinental,Africa,Rest Of World Others,1
RWANDA,East & Other Africa,Intercontinental,Middle East & Other Africa,Rwanda,1
SAINT HELENA,Export South Africa,Intercontinental,Africa,Saint Helena,1
SAINT VINCENT AND THE GRENADINES,NOLA,Intercontinental,North LATAM,Saint Vincent And The Grenadines,1
SAUDI ARABIA,Saudi Arabia,Intercontinental,Middle East & Other Africa,Saudi Arabia,1
SENEGAL,West & Central Africa,Intercontinental,Africa,Senegal,1
SEYCHELLEN,East & Other Africa,Intercontinental,Africa,Seychelles,1
